url,status,indexability,robots_meta,canonical,self_canonical,in_sitemap,sitemap_files,lastmod,page_type,reason
"https://anotherseoguru.com/en/glossary",200,"index","index, follow","https://anotherseoguru.com/en/glossary",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","glossary","indexable, self-canonical"
"https://anotherseoguru.com/el/glossary",200,"index","index, follow","https://anotherseoguru.com/el/glossary",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","glossary","indexable, self-canonical"
"https://anotherseoguru.com/",200,"index","index, follow","https://anotherseoguru.com/en",no,no,"","","home","consolidated to canonical"
"https://anotherseoguru.com/en",200,"index","index, follow","https://anotherseoguru.com/en",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","home","indexable, self-canonical"
"https://anotherseoguru.com/en/contact",200,"index","index, follow","https://anotherseoguru.com/en/contact",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","contact","indexable, self-canonical"
"https://anotherseoguru.com/el/contact",200,"index","index, follow","https://anotherseoguru.com/el/contact",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","contact","indexable, self-canonical"
"https://anotherseoguru.com/en/about",200,"index","index, follow","https://anotherseoguru.com/en/about",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","about","indexable, self-canonical"
"https://anotherseoguru.com/en/services",200,"index","index, follow","https://anotherseoguru.com/en/services",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","service-index","indexable, self-canonical"
"https://anotherseoguru.com/en/solutions",200,"index","index, follow","https://anotherseoguru.com/en/solutions",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","solutions","indexable, self-canonical"
"https://anotherseoguru.com/el/solutions",200,"index","index, follow","https://anotherseoguru.com/el/solutions",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","solutions","indexable, self-canonical"
"https://anotherseoguru.com/el",200,"index","index, follow","https://anotherseoguru.com/el",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","home","indexable, self-canonical"
"https://anotherseoguru.com/el/services",200,"index","index, follow","https://anotherseoguru.com/el/services",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","service-index","indexable, self-canonical"
"https://anotherseoguru.com/el/about",200,"index","index, follow","https://anotherseoguru.com/el/about",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","about","indexable, self-canonical"
"https://anotherseoguru.com/en/get-started",200,"index","index, follow","https://anotherseoguru.com/en/get-started",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","get-started","indexable, self-canonical"
"https://anotherseoguru.com/el/pricing",200,"index","index, follow","https://anotherseoguru.com/el/pricing",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","pricing","indexable, self-canonical"
"https://anotherseoguru.com/en/pricing",200,"index","index, follow","https://anotherseoguru.com/en/pricing",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","pricing","indexable, self-canonical"
"https://anotherseoguru.com/el/work",200,"index","index, follow","https://anotherseoguru.com/el/work",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","work","indexable, self-canonical"
"https://anotherseoguru.com/el/get-started",200,"index","index, follow","https://anotherseoguru.com/el/get-started",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","get-started","indexable, self-canonical"
"https://anotherseoguru.com/en/blog",200,"index","index, follow","https://anotherseoguru.com/en/blog",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","blog","indexable, self-canonical"
"https://anotherseoguru.com/en/locations",200,"index","index, follow","https://anotherseoguru.com/en/locations",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","locations","indexable, self-canonical"
"https://anotherseoguru.com/en/privacy",200,"index","index, follow","https://anotherseoguru.com/en/privacy",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","privacy","indexable, self-canonical"
"https://anotherseoguru.com/el/locations",200,"index","index, follow","https://anotherseoguru.com/el/locations",yes,yes,"sitemap.xml|sitemap-locations-el.xml","2026-08-19T06:30:19.359Z","locations","indexable, self-canonical"
"https://anotherseoguru.com/el/privacy",200,"index","index, follow","https://anotherseoguru.com/el/privacy",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","privacy","indexable, self-canonical"
"https://anotherseoguru.com/en/terms",200,"index","index, follow","https://anotherseoguru.com/en/terms",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","terms","indexable, self-canonical"
"https://anotherseoguru.com/el/terms",200,"index","index, follow","https://anotherseoguru.com/el/terms",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","terms","indexable, self-canonical"
"https://anotherseoguru.com/en/work",200,"index","index, follow","https://anotherseoguru.com/en/work",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","work","indexable, self-canonical"
"https://anotherseoguru.com/el/blog",200,"index","index, follow","https://anotherseoguru.com/el/blog",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","blog","indexable, self-canonical"
"https://anotherseoguru.com/en/platform/for/in-house",200,"index","index, follow","https://anotherseoguru.com/en/platform/for/in-house",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/platform/features",200,"index","index, follow","https://anotherseoguru.com/en/platform/features",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/platform/pricing",200,"index","index, follow","https://anotherseoguru.com/en/platform/pricing",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/platform",200,"index","index, follow","https://anotherseoguru.com/en/platform",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/platform/for/agencies",200,"index","index, follow","https://anotherseoguru.com/en/platform/for/agencies",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/platform/for/ecommerce",200,"index","index, follow","https://anotherseoguru.com/en/platform/for/ecommerce",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","platform","indexable, self-canonical"
"https://anotherseoguru.com/en/compare/ahrefs",200,"index","index, follow","https://anotherseoguru.com/en/compare/ahrefs",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","compare","indexable, self-canonical"
"https://anotherseoguru.com/en/compare/semrush",200,"index","index, follow","https://anotherseoguru.com/en/compare/semrush",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","compare","indexable, self-canonical"
"https://anotherseoguru.com/en/compare/search-console-alone",200,"index","index, follow","https://anotherseoguru.com/en/compare/search-console-alone",yes,yes,"sitemap.xml","2026-08-19T06:30:01.548Z","compare","indexable, self-canonical"
