url,html_lang,declared_lang,target_url,target_status,target_indexable,target_canonical_matches,reciprocal,verdict
"https://anotherseoguru.com/en/glossary","en","en","https://anotherseoguru.com/en/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/glossary","en","el","https://anotherseoguru.com/el/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/glossary","en","x-default","https://anotherseoguru.com/en/glossary",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/en/glossary","en","en","https://anotherseoguru.com/en/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/glossary","en","el","https://anotherseoguru.com/el/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/glossary","en","x-default","https://anotherseoguru.com/en/glossary",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/el/glossary","el","en","https://anotherseoguru.com/en/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/el/glossary","el","el","https://anotherseoguru.com/el/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/el/glossary","el","x-default","https://anotherseoguru.com/en/glossary",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/el/glossary","el","en","https://anotherseoguru.com/en/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/el/glossary","el","el","https://anotherseoguru.com/el/glossary",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/el/glossary","el","x-default","https://anotherseoguru.com/en/glossary",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/","en","en","https://anotherseoguru.com/en",200,yes,yes,no,"REVIEW"
"https://anotherseoguru.com/","en","el","https://anotherseoguru.com/el",200,yes,yes,no,"REVIEW"
"https://anotherseoguru.com/","en","x-default","https://anotherseoguru.com/en",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/","en","en","https://anotherseoguru.com/en",200,yes,yes,no,"REVIEW"
"https://anotherseoguru.com/","en","el","https://anotherseoguru.com/el",200,yes,yes,no,"REVIEW"
"https://anotherseoguru.com/","en","x-default","https://anotherseoguru.com/en",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/en","en","en","https://anotherseoguru.com/en",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en","en","el","https://anotherseoguru.com/el",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en","en","x-default","https://anotherseoguru.com/en",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/en","en","en","https://anotherseoguru.com/en",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en","en","el","https://anotherseoguru.com/el",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en","en","x-default","https://anotherseoguru.com/en",200,yes,yes,n/a,"OK"
"https://anotherseoguru.com/en/contact","en","en","https://anotherseoguru.com/en/contact",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/contact","en","el","https://anotherseoguru.com/el/contact",200,yes,yes,yes,"OK"
"https://anotherseoguru.com/en/contact","en","x-default","https://anotherseoguru.com/en/contact",200,yes,yes,n/a,"OK"
