source_url,status,target,internal_links_pointing_here
"https://anotherseoguru.com/services/local-seo",308,"/en/services/local-seo",n/a-legacy
"https://anotherseoguru.com/services/local-seo/athens-gr",308,"/en/services/local-seo/athens-gr",n/a-legacy
"https://anotherseoguru.com/blog/what-is-seo",308,"/en/blog/what-is-seo",n/a-legacy
"https://anotherseoguru.com/contact",308,"/en/contact",n/a-legacy
"https://anotherseoguru.com/pricing",308,"/en/pricing",n/a-legacy
"https://anotherseoguru.com/glossary",307,"/en/glossary",n/a-legacy
"https://anotherseoguru.com/work",308,"/en/work",n/a-legacy
"https://anotherseoguru.com/platform",308,"/en/platform",n/a-legacy
"https://anotherseoguru.com/features",308,"/en/platform/features",n/a-legacy
"https://anotherseoguru.com/seo-platform",308,"/en/platform",n/a-legacy
"https://anotherseoguru.com/gr",308,"/el",n/a-legacy
"https://anotherseoguru.com/gr/services",308,"/el/services",n/a-legacy
"https://anotherseoguru.com/landing",308,"/en",n/a-legacy
"https://anotherseoguru.com/free-tools/x",308,"https://app.anotherseoguru.com/free-tools/x",n/a-legacy
"https://anotherseoguru.com/app/dashboard",307,"https://app.anotherseoguru.com/dashboard",n/a-legacy
"https://anotherseoguru.com/status",307,"/en/contact",n/a-legacy
"https://anotherseoguru.com/blog/google-search-operators-2025",308,"/en/blog/google-search-operators-2025",n/a-legacy
"https://anotherseoguru.com/solutions/hotels",308,"/en/solutions/hotels",n/a-legacy
"https://anotherseoguru.com/get-started",308,"/en/get-started",n/a-legacy
"https://anotherseoguru.com/el/platform",308,"/en/platform",n/a-legacy
"https://anotherseoguru.com/el/tools",308,"/en/tools",n/a-legacy
"https://anotherseoguru.com/el/resources",308,"/en/resources",n/a-legacy
"https://anotherseoguru.com/el/compare/semrush",308,"/en/compare/semrush",n/a-legacy
"https://anotherseoguru.com/en/seo-platform",308,"/en/platform",n/a-legacy
"https://anotherseoguru.com/el/seo-platform",308,"/el/platform",n/a-legacy
